summary,start,end,categories,description,zones 
Dernier Quartier,2008-04-28,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Ascension,2008-05-01,,Christianisme|Jours fériés,"Fête chrétienne commémorant la montée du Christ au ciel, 40 jours après Pâques.",
Ascension; Fête du Travail,2008-05-01,,Jours fériés,"Fête chrétienne commémorant la montée du Christ au ciel, 40 jours après Pâques. Toujours un jeudi, ce qui en fait naturellement un pont avec le vendredi.",
Fête du Travail,2008-05-01,,Jours fériés|Société,Commémore la grève de Chicago du 1er mai 1886 pour les 8 heures de travail.,
Pont possible — Ascension; Fête du Travail,2008-05-02,,Ponts / Congés,Ascension; Fête du Travail tombe un jeudi le 01/05/2008. Le vendredi 02/05/2008 est un pont potentiel — vérifiez auprès de votre employeur.,
Nouvelle Lune,2008-05-05,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête de la Victoire 1945,2008-05-08,,Jours fériés,"Le 8 mai 1945, l'Allemagne nazie signe sa capitulation sans condition, mettant fin à la guerre en Europe. Férié depuis 1953, supprimé par Giscard en 1975, puis rétabli par Mitterrand en 1981.",
Pont possible — Fête de la Victoire,2008-05-09,,Ponts / Congés,Fête de la Victoire tombe un jeudi le 08/05/2008. Le vendredi 09/05/2008 est un pont potentiel — vérifiez auprès de votre employeur.,
Abolition de l'esclavage en France — Commémoration,2008-05-10,,Mémoire|Société,Journée nationale instaurée par la loi Taubira de 2001.,
Pentecôte,2008-05-11,,Christianisme,"Célèbre la descente de l'Esprit Saint sur les apôtres, 50 jours après Pâques.",
Lundi de Pentecôte,2008-05-12,,Jours fériés|Christianisme,"Jour férié désigné depuis 2004 Journée de solidarité envers les personnes âgées. Les salariés travaillent ce jour sans rémunération supplémentaire, finançant ainsi la prise en charge de la dépendance — instauré après la canicule de 2003 qui fit 15 000 morts en France.",
Premier Quartier,2008-05-12,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Festival de Cannes — Ouverture,2008-05-14,,Culture|Cinéma,"Le Festival International du Film de Cannes, créé en 1946.",
Nuit des Musées,2008-05-17,,Culture,Créée en France en 2005 et étendue à toute l'Europe.,
Pleine Lune,2008-05-20,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale de la biodiversité,2008-05-22,,Environnement,Commémore l'adoption de la Convention sur la Diversité Biologique à Rio.,
Fête des Mères,2008-05-25,,Fêtes|Culture,"Célébrée le dernier dimanche de mai, sauf si c'est la Pentecôte.",
Journée nationale de la Résistance,2008-05-27,,Mémoire|Société,"Le 27 mai 1943, Jean Moulin préside la première réunion secrète du CNR.",
Dernier Quartier,2008-05-28,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête des Voisins,2008-05-30,,Société,Créée en 2000 pour lutter contre l'isolement urbain.,
Journée mondiale sans tabac,2008-05-31,,Santé,Lancée par l'OMS en 1987.,
Nouvelle Lune,2008-06-03,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Débarquement en Normandie — Commémoration du Jour J,2008-06-06,,Mémoire|Dates spéciales,"Le 6 juin 1944, 156 000 soldats alliés débarquent sur les plages de Normandie.",
Journée mondiale de l'océan,2008-06-08,,Environnement,Proposée lors du Sommet de la Terre de Rio en 1992.,
Premier Quartier,2008-06-10,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête des Pères,2008-06-15,,Fêtes|Culture,"Née aux États-Unis en 1910, introduite en France dans les années 1950.",
Appel du 18 juin 1940 — Anniversaire,2008-06-18,,Mémoire|Dates spéciales,"Le 18 juin 1940, de Gaulle lance depuis Londres un appel à la Résistance sur la BBC.",
Pleine Lune,2008-06-18,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Début de l'Été — Solstice d'été,2008-06-20,,Saisons|Astronomie,Le solstice d'été est le jour le plus long de l'année.,
Jour le plus long de l'année,2008-06-20,,Saisons|Astronomie,Le 20 June est le jour le plus long de l'année 2008.,
Fête de la Musique,2008-06-21,,Culture|Fêtes,Créée en 1982 par le ministre Jack Lang.,
Fête du Cinéma,2008-06-22,,Culture|Cinéma,"Créée en 1985, elle propose chaque fin juin des places à tarif réduit.",
Dernier Quartier,2008-06-26,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Milieu de l'année,2008-07-01,,Dates spéciales,Ce jour marque le point médian exact de l'année 2008.,
Nouvelle Lune,2008-07-03,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Festival d'Avignon — Ouverture,2008-07-05,,Culture|Théâtre,Créé par Jean Vilar en 1947 dans la cour du Palais des Papes.,
Premier Quartier,2008-07-10,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Commémoration de la Rafle du Vél d'Hiv,2008-07-13,,Mémoire|Société,"Les 16-17 juillet 1942, la police française arrêta 13 152 Juifs à Paris.",
Fête Nationale,2008-07-14,,Jours fériés|Société|Dates spéciales,Commémore la prise de la Bastille le 14 juillet 1789.,
Fête nationale,2008-07-14,,Jours fériés,"Commémore la prise de la Bastille le 14 juillet 1789, symbole de la Révolution française. Jour férié depuis 1880. Défilé militaire sur les Champs-Élysées, bals des pompiers et feux d'artifice dans toute la France.",
Pleine Lune,2008-07-18,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2008-07-25,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2008-08-01,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Nuit des Étoiles,2008-08-02,,Astronomie|Éducation|Culture,Organisée chaque premier week-end d'août par l'Association Française d'Astronomie depuis 1991.,
Premier Quartier,2008-08-08,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Assomption,2008-08-15,,Jours fériés,"Célèbre l'élévation de la Vierge Marie au ciel. Fête chrétienne ancienne, jour férié en France depuis le Concordat de 1802. Elle tombe en plein cœur de l'été, au milieu des grandes vacances.",
Assomption de Marie,2008-08-15,,Christianisme|Jours fériés,Célèbre l'élévation de la Vierge Marie au ciel.,
Pleine Lune,2008-08-16,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2008-08-24,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2008-08-30,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Rentrée des classes,2008-09-02,,Éducation|Société,La rentrée de septembre mobilise 12 millions d'élèves et 870 000 enseignants en France.,
Braderie de Lille,2008-09-06,,Culture|Commerce,"Plus grande braderie d'Europe, organisée le premier week-end de septembre à Lille.",
Premier Quartier,2008-09-07,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2008-09-15,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journées du Patrimoine,2008-09-20,,Culture|Société,"Créées en France en 1984 par Jack Lang, étendues à toute l'Europe en 1991.",
Dernier Quartier,2008-09-22,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Début de l'Automne — Équinoxe d'automne,2008-09-22,,Saisons|Astronomie,L'équinoxe d'automne marque le début de l'automne.,
Journée mondiale sans voiture,2008-09-22,,Environnement|Société,Lancée en France en 1998 par La Rochelle.,
Nouvelle Lune,2008-09-29,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée mondiale du cacao et du chocolat,2008-10-01,,Gastronomie|Culture,Célébrée le 1er octobre et associée à l'Organisation internationale du cacao (ICCO).,
Lancement d'Octobre Rose,2008-10-01,,Santé,Tout octobre est dédié à la sensibilisation au cancer du sein.,
Nuit Blanche,2008-10-04,,Culture,Initiée à Paris en 2002 par le maire Bertrand Delanoë.,
Fête des Grands-Pères,2008-10-05,,Fêtes|Culture,"Créée en 2008, elle a lieu chaque premier dimanche d'octobre.",
Premier Quartier,2008-10-07,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale de la santé mentale,2008-10-10,,Santé|Société,Créée par la Fédération Mondiale pour la Santé Mentale en 1992.,
Semaine du Goût,2008-10-13,,Gastronomie|Culture,Créée en 1990 par le chef Joël Robuchon.,
Pleine Lune,2008-10-14,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale de l'alimentation,2008-10-16,,Gastronomie|Société|Santé,Commémore la fondation de la FAO le 16 octobre 1945.,
Dernier Quartier,2008-10-21,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Passage à l'heure d'hiver,2008-10-26,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres reculent d'une heure (3h → 2h).",
Nouvelle Lune,2008-10-29,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Halloween,2008-10-31,,Culture|Fêtes,Fête d'origine celtique (la nuit de Samain) christianisée puis popularisée par la diaspora irlandaise.,
Lancement du Mois sans Tabac,2008-11-01,,Santé,Lancé en France en 2016 par Santé Publique France.,
Toussaint,2008-11-01,,Jours fériés|Christianisme,"Fête de tous les saints, instituée par le pape Grégoire IV en 835. En France, la tradition de fleurir les tombes avec des chrysanthèmes s'est greffée dessus — ces fleurs sont désormais intimement liées à ce jour.",
Journée nationale de l'arbre,2008-11-06,,Environnement,Célébrée chaque premier jeudi de novembre.,
Premier Quartier,2008-11-06,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pont possible — Armistice 1918,2008-11-10,,Ponts / Congés,Armistice 1918 tombe un mardi le 11/11/2008. Le lundi 10/11/2008 est un pont potentiel — vérifiez auprès de votre employeur.,
Armistice 1918,2008-11-11,,Jours fériés,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale après quatre ans de combats. Jour férié depuis 1922. Chaque commune française a son monument aux morts — 36 000 érigés entre 1920 et 1925.",
Armistice de 1918 — Journée du Souvenir,2008-11-11,,Jours fériés|Mémoire|Dates spéciales,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale.",
Pleine Lune,2008-11-13,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2008-11-19,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Beaujolais Nouveau,2008-11-20,,Gastronomie|Culture|Commercial,"Chaque troisième jeudi de novembre, le Beaujolais Nouveau est mis en vente.",
Journée internationale des droits de l'enfant,2008-11-20,,Société,Commémore l'adoption de la Convention des Nations Unies relative aux droits de l'enfant.,
Nouvelle Lune,2008-11-27,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête de la Bretagne,2008-11-30,,Culture|Société,Célébrée le 30 novembre (Saint-André) depuis les années 1990.,
Journée mondiale des personnes handicapées,2008-12-03,,Société,Instaurée par l'ONU en 1992.,
Journée mondiale du Bénévolat,2008-12-05,,Société,Créée par l'ONU en 1985.,
Premier Quartier,2008-12-05,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Saint-Nicolas,2008-12-06,,Christianisme|Culture|Fêtes,"Fête de Nicolas de Myre, évêque du IVe siècle devenu patron des enfants.",
Journée de la Laïcité,2008-12-09,,Société|Dates spéciales,Commémore la loi du 9 décembre 1905 séparant les Églises de l'État.,
Pleine Lune,2008-12-12,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2008-12-19,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Début de l'Hiver — Solstice d'hiver,2008-12-21,,Saisons|Astronomie,Le solstice d'hiver est le jour le plus court de l'année.,
Jour le plus court de l'année,2008-12-21,,Saisons|Astronomie,Le 21 December est le jour le plus court de l'année 2008.,
Noël,2008-12-25,,Jours fériés|Christianisme|Fêtes,"Célèbre la naissance du Christ. La date du 25 décembre a été fixée au IVe siècle sur une fête solaire romaine préexistante. Le sapin, la bûche et les cadeaux sont des traditions popularisées bien plus tard, au XIXe siècle.",
Pont possible — Noël,2008-12-26,,Ponts / Congés,Noël tombe un jeudi le 25/12/2008. Le vendredi 26/12/2008 est un pont potentiel — vérifiez auprès de votre employeur.,
Saint-Étienne,2008-12-26,,Jours fériés|Christianisme,"Le 26 décembre est férié uniquement en Alsace-Moselle (depts 57, 67, 68). Fête de saint Étienne, premier martyr chrétien.",AM
Nouvelle Lune,2008-12-27,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Dernier jour de l'année,2008-12-31,,Dates spéciales,Clôture de l'année civile 2008.,
Saint-Sylvestre / Réveillon du Nouvel An,2008-12-31,,Fêtes|Culture,"Dernier jour de l'année, nommé d'après le pape Sylvestre Ier mort ce jour en 335.",
Jour de l'an,2009-01-01,,Jours fériés,Premier jour de l'année civile grégorienne. La tradition des vœux existe depuis l'Antiquité romaine. Le gui porte-bonheur vient d'une coutume druidique bien antérieure au christianisme.,
Pont possible — Jour de l'an,2009-01-02,,Ponts / Congés,Jour de l'an tombe un jeudi le 01/01/2009. Le vendredi 02/01/2009 est un pont potentiel — vérifiez auprès de votre employeur.,
Premier Quartier,2009-01-04,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Épiphanie,2009-01-06,,Christianisme|Culture|Gastronomie,"Célèbre la visite des Rois Mages à Jésus, 12 jours après Noël.",
Pleine Lune,2009-01-11,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2009-01-18,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée internationale de l'Éducation,2009-01-24,,Éducation|Société,Proclamée par l'ONU en 2019.,
Nouvelle Lune,2009-01-26,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée nationale de la Mémoire de la Shoah,2009-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Chandeleur,2009-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2009-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Premier Quartier,2009-02-03,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
